מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
1,,"סידור הבעל שם טוב סידור כתב-יד, עם כוונות האריז""ל, שבו התפלל רבינו רבי ישראל בעל שם טוב, ובו רשמו תלמידיו את שמותיהם לזכרון לפניו בעת התפלה. תיאור הסידור וסדר השתלשלותו נדפס בכמה מקומות. ראה שפתי צדיקים גליונות ז-ט. כפר חב""ד גליונות: 682 ע' 14. 683 ע' 32. 684 ע' 153. 799 ע' 55. 906 ע' 26. 907 ע' 30.",,,,,,,,,,,,,,,248
2,לד,"דרושי אדמו""ר הזקן כו""כ מהם נדפסו במאמרים הקצרים ועל כו""כ נרשמו תאריכי אמירתם, ובסופו מפתח הביכל לפי ענינים. 17*22 ס""מ. ריז, (21) דף.",,,V,,,,V,,,,,,,,240
3,לד,"דרושי אדמו""ר הצ""צ כת""י מעתיק. 17X22 ס""מ. קי, קצח דף. דפים ז-יד ד""ה ברוך שעשה נסים מאת הצ""צ דפים טו-קי הנחות דפים ג (הב')-כא,א: ביאור ד""ה ומרדכי יצא דפים לד,ב (הב')-צ: באור קונטרס פסח ומצה דפים קל,ב (הב')-קלד: ד""ה ולא יקרא תרכ""ג",,,,,V,,V,,,,,,,,312
4,לד,"דרושי אדמו""ר הזקן מהדו""ק מלקו""ת ויקרא ושה""ש 18X23 ס""מ. (1),רס דף.",,,V,,,,V,,,,,,,,275
5,לד,"דרושי אדמו""ר האמצעי רובו כת""י מעתיק אחד בסופו דרוש ארוך, מחולק לפרקים כה-סב 23X19 ס""מ. דש דף",,,,V,,,V,,,,,,,,309
6,לד,"דרושי אדמו""ר הצ""צ על ספר בראשית נדפסו באוה""ת וכמה מאמרים נדפסו בסה""מ תקס""ב, תקס""ז-ח 18*22 ס""מ. (2), שכח דף.",,,,,V,,V,,,,,,,,342
7,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ פט,א: פ' במדבר על שבועות תקפה 18*23 ס""מ. 126 דף (בתחלתו כ50- דף חלק). בעלים: ליב אירליש משטראשון.",,,V,V,V,,V,,,,,,,,96
8,לד,"רשימות אדמו""ר הצ""צ על תהלים. (מהדו""ק מהנדפס ב""יהל אור"") 18*24 ס""מ. רסג דף.",,,,,V,,,,,,,,,,262
9,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצמח צדק והוא ליקוט מכמה ביכלאך בכת""י כמה מעתיקים 23X18 ס""מ. קלב דף. בראשו 40 דף חלקים. בסופו 28 דפים חלקים. ואחרי דף מו 19 דף חלקים כדי למלאותם בראשו מפתח, ומכתב למ' אלי', מדודו חיים אלי', מחוהמ""ס תרם""א, להשלים העתקת דרושים נמסר ע""י משה זאב ירוסלבסקי",,V,V,V,V,,V,,,,,,,,140
10,לד,"דרושי אדמו""ר מהרש""נ מבאברויסק בכ""מ נרשם תרנ""ג-ס""ג 18*23 ס""מ. (590) דף",,,,,,,V,,,,,V,,,583
11,לד,"דרושי אדמו""ר הצ""צ רובם ביאורי הזהר. 17*23 ס""מ. שיח דף.",,,,,V,,V,,,,,,,,323
12,לד,"מלוקט מדרושי: אדמו""ר הצ""צ אדמו""ר מהר""ש אדמו""ר מהרחש""ז מלאדי הלל, הר""ה מפאריטש ועוד. 18*22 ס""מ. שה דף.",,,,,V,V,V,,,,,,,V,298
13,לד,"מלוקט מדרושי: אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ בראש המפתח שבתחלתו:"" רשימה מהתורות הנמצאים מן תקפ""ט ותק""ץ, חלק א. חלק ב על רבע. ח""ב כעת אצל נ""א ר' שניאור. כל הכ""ק זכוני (!) הש""י ששמעתי מכ""ק אדמו""ר רמ""מ תקפט והתחלת שנת תקצ חוץ מהתורות הרשומים בסימן כוכב"" ועל דף האחרון:"" נאום הכותב באהבה רבה שניאור בן יקותיאל זלמן ברדיטשובר חתן אדה""מ ונכד הרלוי""צ] תו[רה] ת[מימה] אדמו""ר מ[נחם] מענדיל..זקני עטרת רא[שי] .. יוסף בונם חתן אדמו""ר הגאון לוי יצחק אב""ד דק' ברדיטשוב"". 17*22 ס""מ. (1) קמא דף. השווה מס' 26.                        .40 אחר דף פה נכרך 4 דפים ישנים [בגודל ""פערטיל"" ובצבע כחול] שכוללים פרקים ח-י. קי-קיא מ: פירוש המלות לאדמו""ר האמצעי",,,V,V,V,,V,,,,,,,,144
14,לד,"דרושי אדמו""ר הצ""צ 18*24 ס""מ. (1), רעג דף.",,,,,V,,V,,,,,,,,244
